State,i,e,w,r,c,v,LETTER,DIGIT,QUOTE,OP,SC,SPACE,NL,EOF,OTHER,f,n,t,h,a,o,u,d,l,s
ST_START,ST_KW_I,ST_KW_E,ST_KW_W,ST_KW_R,ST_KW_C,ST_KW_V,ST_IN_IDENT,ST_IN_NUMBER,ST_IN_LITERAL,ST_ACCEPT_OP,ST_ACCEPT_SC,ST_START,ST_START,ST_STOP,ST_IN_NONREC,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_IN_NUMBER,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_NUMBER,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_LIT_END,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_ERROR,ST_ERROR,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL,ST_IN_LITERAL
ST_LIT_END,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
ST_IN_NONREC,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_NONREC,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
ST_ACCEPT_OP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
ST_ACCEPT_SC,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
ST_KW_I,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_KW_IF,ST_KW_IN,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_IF,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_IN,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_KW_INT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_INT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_C,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_CH,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_CH,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_CHA,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_CHA,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_CHAR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_CHAR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_V,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_VO,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_VO,ST_KW_VOI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_VOI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_VOID,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_VOID,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_E,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_EL,ST_IN_IDENT
ST_KW_EL,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_ELS
ST_KW_ELS,ST_IN_IDENT,ST_KW_ELSE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_ELSE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_W,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_WH,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_WH,ST_KW_WHI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_WHI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_WHIL,ST_IN_IDENT
ST_KW_WHIL,ST_IN_IDENT,ST_KW_WHILE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_WHILE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_R,ST_IN_IDENT,ST_KW_RE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_KW_RET,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RET,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_RETU,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RETU,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_RETUR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RETUR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_KW_RETURN,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_RETURN,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_ERROR,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP
